Country,Confirmed,Deaths,Recovered,Active,Population,Continent,Death Rate
Montenegro,13641,198,9429,4014,628062,Europe,1.45%
Morocco,149841,2572,124854,22415,36910558,Africa,1.72%
Mozambique,9844,70,7203,2571,31255435,Africa,0.71%
Namibia,11891,128,9807,1956,2540916,Africa,1.08%
Nepal,105684,614,74252,30818,29136808,Asia,0.58%
Netherlands,173894,6624,4761,162509,17134873,Europe,3.81%
New Zealand,1871,25,1801,45,4822233,Oceania,1.34%
Nicaragua,5264,153,4225,886,6624554,North America,2.91%
Niger,1201,69,1123,9,24206636,Africa,5.75%
Nigeria,60103,1115,51711,7277,206139587,Africa,1.86%
North Macedonia,20555,785,16099,3671,2083380,Europe,3.82%
Norway,15466,275,11863,3328,5421242,Europe,1.78%
Oman,104129,1009,91731,11389,5106622,Asia,0.97%
Pakistan,318932,6570,303458,8904,220892331,Asia,2.06%
Panama,119666,2482,95552,21632,4314768,North America,2.07%
Papua New Guinea,549,7,532,10,8947027,Oceania,1.28%
Paraguay,48978,1065,31351,16562,7132530,South America,2.17%
Peru,846088,33223,733000,79865,32971846,South America,3.93%
Philippines,336926,6238,276094,54594,109581085,Asia,1.85%
Poland,121638,2972,78982,39684,37846605,Europe,2.44%
Portugal,85574,2067,52803,30704,10196707,Europe,2.42%
Qatar,127778,219,124767,2792,2881060,Asia,0.17%
Romania,152403,5358,116628,30417,19237682,Europe,3.52%
Russia,1278245,22331,1011911,244003,145934460,Europe,1.75%
Rwanda,4892,30,3566,1296,12952209,Africa,0.61%
Saint Kitts and Nevis,19,0,18,1,53192,North America,0.00%
Saint Lucia,29,0,27,2,183629,North America,0.00%
Saint Vincent and the Grenadines,64,0,64,0,110947,North America,0.00%
San Marino,741,42,682,17,33938,Europe,5.67%
Sao Tome and Principe,922,15,890,17,219161,Africa,1.63%
Saudi Arabia,338944,5018,324737,9189,34813867,Asia,1.48%
Senegal,15244,314,13198,1732,16743930,Africa,2.06%
Serbia,34685,762,0,33923,6804596,Europe,2.20%
Seychelles,148,0,144,4,98340,Africa,0.00%
Sierra Leone,2300,72,1725,503,7976985,Africa,3.13%
Singapore,57866,27,57698,141,5850343,Asia,0.05%
Slovakia,18797,61,5553,13183,5459643,Europe,0.32%
Slovenia,8252,167,5024,3061,2078932,Europe,2.02%
Somalia,3847,99,3079,669,15893219,Africa,2.57%
South Africa,690896,17673,622153,51070,59308690,Africa,2.56%
South Sudan,2761,54,1290,1417,11193729,Africa,1.96%
Spain,861112,32929,150376,677807,46754783,Europe,3.82%
Sri Lanka,4628,13,3306,1309,21413250,Asia,0.28%
Sudan,13670,836,6764,6070,43849269,Africa,6.12%
Suriname,5035,107,4830,98,586634,South America,2.13%
Sweden,98451,5894,0,92557,10099270,Europe,5.99%
Switzerland,60368,2088,48400,9880,8654618,Europe,3.46%
Syria,4673,221,1271,3181,17500657,Asia,4.73%
Taiwan,527,7,488,32,23816775,Asia,1.33%
Tajikistan,10180,79,9006,1095,9537642,Asia,0.78%
Tanzania,509,21,183,305,56320000,Africa,4.13%
Thailand,3636,59,3451,126,69799978,Asia,1.62%
Togo,1935,49,1444,442,8278737,Africa,2.53%
Trinidad and Tobago,5043,90,3221,1732,1399491,North America,1.78%
Tunisia,31259,456,5032,25771,11818618,Africa,1.46%
Turkey,334031,8778,293145,32108,84339067,Asia,2.63%
Uganda,9701,93,6022,3586,45741000,Africa,0.96%
Ukraine,263105,5010,116861,141234,43733759,Europe,1.90%
United Arab Emirates,105133,443,95973,8717,9890400,Asia,0.42%
United Kingdom,593565,42850,2495,548220,67886004,Europe,7.22%
Uruguay,2268,50,1930,288,3473727,South America,2.20%
United States of America,7717932,214370,3062983,4440579,331002647,North America,2.78%
Uzbekistan,60776,502,57704,2570,33469199,Asia,0.83%
Venezuela,82453,691,73919,7843,28435943,South America,0.84%
Vietnam,1107,35,1024,48,97338583,Asia,3.16%
West Bank and Gaza,43945,378,37240,6327,4430000,Asia,0.86%
Western Sahara,10,1,8,1,597330,Africa,10.00%
Yemen,2051,595,1329,127,29825968,Asia,29.01%
Zambia,15415,337,14541,537,18383956,Africa,2.19%
Zimbabwe,8010,230,6492,1288,14862927,Africa,2.87%
